,Alue,Osoite,Hinta,Koko,Vuosi,Talotyyppi,Sauna,Parveke,Katu
644,Lielahti,Ansarinkuja 1,165000.0,60.0,1989.0,Paritalo,False,False,Ansarinkuja
645,Hatanpää,Siirtolapuutarhankatu 20,185000.0,53.0,2001.0,Kerrostalo,False,False,Siirtolapuutarhankatu
646,Kauppi,Kuntokatu 11 C 221,245000.0,57.0,2021.0,Kerrostalo,True,False,Kuntokatu
647,Kauppi,Kuntokatu 11 C C204,221000.0,51.0,2021.0,Kerrostalo,False,False,Kuntokatu
648,Vuores,Takamaanrinne 24 A1,192500.0,55.0,2021.0,Kerrostalo,False,False,Takamaanrinne
649,Santalahti,Tiporaitti 9 E 159,245400.0,48.0,2019.0,Kerrostalo,False,False,Tiporaitti
650,Kaleva,Sarvijaakonkatu 41,219000.0,43.5,2017.0,Kerrostalo,False,False,Sarvijaakonkatu
651,Härmälä,Tarmonkuja 4 As 22,175700.0,41.0,2020.0,Kerrostalo,False,False,Tarmonkuja
652,Härmälä,Tarmonkuja 4 As 7,171300.0,41.0,2020.0,Kerrostalo,False,False,Tarmonkuja
653,Niemenranta,Raamikatu 34 A 19,211800.0,54.5,2020.0,Kerrostalo,True,False,Raamikatu
654,Niemenranta,Raamikatu 34 A 23,221800.0,54.5,2020.0,Kerrostalo,True,False,Raamikatu
655,Niemenranta,Raamikatu 34 A 13,203800.0,54.5,2020.0,Kerrostalo,True,False,Raamikatu
656,Niemenranta,Raamikatu 34 A 7,197800.0,54.5,2020.0,Kerrostalo,True,False,Raamikatu
657,Niemenranta,Raamikatu 34 A 5,166400.0,43.0,2020.0,Kerrostalo,True,False,Raamikatu
658,Tesoma,Virontörmänkatu 10,89000.0,61.0,1970.0,Kerrostalo,False,False,Virontörmänkatu
659,Lielahti,Ollinojankatu 4 A,137000.0,53.5,1990.0,Kerrostalo,True,False,Ollinojankatu
660,Santalahti,Rantatie 53 B 16,189200.0,38.5,2019.0,Kerrostalo,False,False,Rantatie
661,Santalahti,Rantatie 53 B 24,201800.0,38.5,2019.0,Kerrostalo,False,False,Rantatie
662,Keskusta,Satakunnankatu 29 F,229000.0,55.0,1962.0,Kerrostalo,False,False,Satakunnankatu
663,Hatanpää,Hatanpään puistokuja 27,190900.0,37.0,2019.0,Kerrostalo,False,False,Hatanpään
664,Hervanta,Insinöörinkatu 80,119000.0,63.0,1995.0,Kerrostalo,False,False,Insinöörinkatu
665,Kaukajärvi,Järvikatu 8-10,127000.0,48.5,1966.0,Kerrostalo,False,False,Järvikatu
666,Vuores,Isokuusenkatu 47 A 2,147890.0,42.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
667,Kaukajärvi,Juvankatu 81,139990.0,44.0,2016.0,Kerrostalo,False,False,Juvankatu
668,Pyynikki,Satamakatu 17,239000.0,49.0,2019.0,Kerrostalo,False,False,Satamakatu
669,Keskusta,Kansikatu 8 B 120,193110.0,38.0,2020.0,Kerrostalo,False,False,Kansikatu
670,Keskusta,Kansikatu 8 A 24,197160.0,43.5,2020.0,Kerrostalo,False,False,Kansikatu
671,Vuores,Isokuusenkatu 47 A 22,148890.0,42.0,2020.0,Kerrostalo,False,False,Isokuusenkatu
672,Ranta-Tampella,Ranta-Tampellan katu 15 A45,220160.0,38.0,2019.0,Kerrostalo,False,True,Ranta-Tampellan
673,Ranta-Tampella,Ranta-Tampellan katu 15 A41,249150.0,35.5,2019.0,Kerrostalo,True,True,Ranta-Tampellan
674,Ranta-Tampella,Ranta-Tampellan katu 15 A35,245150.0,35.5,2019.0,Kerrostalo,True,True,Ranta-Tampellan
675,Ranta-Tampella,Ranta-Tampellan katu 15 A23,238150.0,35.5,2019.0,Kerrostalo,True,True,Ranta-Tampellan
676,Ranta-Tampella,Ranta-Tampellan katu 15 A34,256200.0,49.5,2019.0,Kerrostalo,True,True,Ranta-Tampellan
677,Tesoma,Kohmankaari 9,129900.0,32.5,2018.0,Kerrostalo,False,False,Kohmankaari
678,Ranta-Tampella,Tampellan esplanadi 19 A 45,279240.0,36.0,2020.0,Kerrostalo,False,False,Tampellan
679,Pohtola,Päiväperhonkatu 1,145000.0,40.5,2019.0,Kerrostalo,False,False,Päiväperhonkatu
680,Veisu,Veisunkatu 20 as. 11,239000.0,59.0,2020.0,Kerrostalo,False,False,Veisunkatu
681,Rahola,Korvenkatu 62 E 8,173000.0,65.5,1999.0,Paritalo,False,False,Korvenkatu
682,Koivistonkylä,Veisunkatu 20 as. 6,239000.0,59.0,2020.0,Kerrostalo,False,False,Veisunkatu
683,Koivistonkylä,Veisunkatu 20 as. 1,197000.0,54.0,2020.0,Kerrostalo,False,False,Veisunkatu
684,Takahuhti,Hanhenmäenkatu 1 B,210500.0,45.5,2020.0,Kerrostalo,False,False,Hanhenmäenkatu
685,Multisilta,Perkkoonkatu 1 B,169900.0,38.5,2020.0,Kerrostalo,False,False,Perkkoonkatu
686,Vuores,Isokuusenkatu 47 C 87,142790.0,36.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
687,Vuores,Isokuusenkatu 47 C 80,139790.0,36.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
688,Keskusta,Sorinsilta 4 A 17,299320.0,43.5,2021.0,Kerrostalo,False,False,Sorinsilta
689,Härmälänranta,Niilo Härmälän katu 13 A 57,221000.0,47.0,2021.0,Kerrostalo,False,False,Niilo
690,Pyynikki,Pyynikintie 25 A 23,480500.0,77.5,2020.0,Kerrostalo,False,False,Pyynikintie
691,Vuores,Isokuusenkatu 47 B 40,152890.0,43.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
692,Kiveliö/Holvasti,Kiveliönkuja 4,89000.0,44.5,1939.0,Puutalo-osake,False,False,Kiveliönkuja
693,Vuores,Isokuusenkatu 47 C 75,152890.0,43.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
694,Vuores,Isokuusenkatu 47 C 73,137890.0,36.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
695,Vuores,Isokuusenkatu 47 C 66,139890.0,36.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
696,Santalahti,Tiporaitti 9 E 123,199000.0,42.0,2020.0,Kerrostalo,False,False,Tiporaitti
697,Vuores,Takamaanrinne 4 As 15,179900.0,46.0,2020.0,Kerrostalo,False,False,Takamaanrinne
698,Ranta-Tampella,Koelaitoksenkatu 4 A 10,240300.0,53.0,2020.0,Kerrostalo,True,False,Koelaitoksenkatu
699,Pyynikki,Pyhäranta 4 B 50,200916.0,56.0,2020.0,Kerrostalo,False,False,Pyhäranta
700,Keskusta,Kansikatu 8 A 47,207130.0,44.0,2020.0,Kerrostalo,False,False,Kansikatu
701,Keskusta,Sorinsilta 4 A 06,369300.0,58.0,2021.0,Kerrostalo,True,False,Sorinsilta
702,Ranta-Tampella,Tampellan esplanadi 19 A 27,269060.0,36.0,2020.0,Kerrostalo,False,False,Tampellan
703,Kaleva,Jäähallinraitti 4 A 95,237000.0,41.5,2021.0,Kerrostalo,True,False,Jäähallinraitti
704,Kaleva,Jäähallinraitti 4 A 86,233000.0,41.5,2021.0,Kerrostalo,True,False,Jäähallinraitti
705,Kaleva,Jäähallinraitti 4 A 59,220000.0,41.5,2021.0,Kerrostalo,True,False,Jäähallinraitti
706,Kaleva,Jäähallinraitti 4 A 68,224000.0,41.5,2021.0,Kerrostalo,True,False,Jäähallinraitti
707,Ristimäki,Kohmankaari 23,139000.0,41.5,2008.0,Kerrostalo,False,False,Kohmankaari
708,Hatanpää,Hatanpään puistokuja 27 C133,189900.0,37.0,2019.0,Kerrostalo,False,False,Hatanpään
709,Ranta-Tampella,Tampellan esplanadi 19 A 33,272940.0,36.0,2020.0,Kerrostalo,False,False,Tampellan
710,Pyynikki,Pyhäranta 4 B 55,217500.0,55.5,2020.0,Kerrostalo,False,False,Pyhäranta
711,Pyynikki,Pirkankatu 28,149000.0,38.0,2005.0,Kerrostalo,False,False,Pirkankatu
712,Santalahti,Tiporaitti 9 E159,245400.0,48.0,2019.0,Kerrostalo,False,False,Tiporaitti
713,Santalahti,Tiporaitti 9 E156,202400.0,36.5,2019.0,Kerrostalo,False,False,Tiporaitti
714,Santalahti,Tiporaitti 9 E150,235900.0,48.0,2019.0,Kerrostalo,False,False,Tiporaitti
715,Santalahti,Tiporaitti 9 E135,188900.0,36.5,2019.0,Kerrostalo,False,False,Tiporaitti
716,Santalahti,Tiporaitti 9 E134,195900.0,38.5,2019.0,Kerrostalo,False,False,Tiporaitti
717,Santalahti,Tiporaitti 9 C98,206500.0,44.0,2019.0,Kerrostalo,False,False,Tiporaitti
718,Santalahti,Tiporaitti 9 C84,199900.0,44.0,2019.0,Kerrostalo,False,False,Tiporaitti
719,Järvensivu,Järvensivuntie 57,128400.0,38.0,1967.0,Kerrostalo,False,False,Järvensivuntie
720,Kaleva,Sarvijaakonkatu 39,228000.0,46.5,2018.0,Kerrostalo,False,False,Sarvijaakonkatu
721,Pyynikki,Pyynikintie 25 A 49,573500.0,93.0,2020.0,Kerrostalo,False,False,Pyynikintie
722,Pyynikki,Pyynikintie 25 A 43,327600.0,51.5,2020.0,Kerrostalo,False,False,Pyynikintie
723,Pyynikki,Pyhäranta 4 B 62,217164.0,55.5,2020.0,Kerrostalo,False,False,Pyhäranta
724,Pyynikki,Pyhäranta 4 B 54,212980.0,56.0,2020.0,Kerrostalo,False,False,Pyhäranta
725,Pyynikki,Pyhäranta 4 A 01,228660.0,52.0,2020.0,Kerrostalo,False,False,Pyhäranta
726,Keskusta,Sorinsilta 4 A 81,329110.0,43.5,2021.0,Kerrostalo,False,False,Sorinsilta
727,Pyynikki,F.E. Sillanpään katu 2,259000.0,54.0,2010.0,Kerrostalo,False,False,F.E.
728,Pyynikki,Pyynikintie 25 A 69,504850.0,69.5,2020.0,Kerrostalo,False,False,Pyynikintie
729,Epilä,Pispalan valtatie 143,124500.0,56.0,1967.0,Kerrostalo,False,True,Pispalan
730,Keskusta,Sorinsilta 4 A 69,317760.0,43.5,2021.0,Kerrostalo,False,False,Sorinsilta
731,Vuores,Isokuusenkatu 47 B 55,142790.0,36.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
732,Vuores,Isokuusenkatu 47 B 49,139790.0,36.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
733,Vuores,Isokuusenkatu 47 B 47,156890.0,43.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
734,Vuores,Isokuusenkatu 47 B 46,144890.0,36.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
735,Keskusta,Kansikatu 8 B 96,187510.0,38.0,2020.0,Kerrostalo,False,False,Kansikatu
736,Vuores,Takamaanrinne 24 A22,136000.0,33.5,2021.0,Kerrostalo,False,False,Takamaanrinne
737,Janka,Lastaajankatu 2,129000.0,40.0,1995.0,Kerrostalo,False,False,Lastaajankatu
738,Vuores,Isokuusenkatu 47 B 39,142890.0,36.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
739,Vuores,Isokuusenkatu 47 B 32,139890.0,36.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
740,Härmälä,Timonkatu 5,138500.0,65.0,1938.0,Kerrostalo,False,False,Timonkatu
741,Härmälänranta,Myrskynkatu 12,248000.0,53.5,2018.0,Kerrostalo,False,False,Myrskynkatu
742,Haukiluoma,Tyviraitti 1 A,159000.0,45.5,2020.0,Kerrostalo,False,False,Tyviraitti
743,Multisilta,Kitiniitynkatu 7,98000.0,62.0,1970.0,Kerrostalo,False,False,Kitiniitynkatu
744,Vuores,Takamaanrinne 24 A10,217100.0,61.5,2021.0,Kerrostalo,True,False,Takamaanrinne
745,Koivistonkylä,Ilokkaankatu 6,206700.0,53.0,2020.0,Rivitalo,True,False,Ilokkaankatu
746,Vuores,Isokuusenkatu 47 C 73,137890.0,36.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
747,Ranta-Tampella,Tampellan esplanadi 19 A,279240.0,36.0,2020.0,Kerrostalo,False,False,Tampellan
748,Ranta-Tampella,Tampellan esplanadi 19 A,297660.0,43.5,2020.0,Kerrostalo,False,False,Tampellan
749,Ranta-Tampella,Tampellan esplanadi 19 A,265180.0,36.0,2020.0,Kerrostalo,False,False,Tampellan
750,Ranta-Tampella,Tampellan esplanadi 19 A,368930.0,47.5,2020.0,Kerrostalo,False,False,Tampellan
751,Nekala,Seppäläntie 35,185000.0,,2020.0,Omakotitalo,False,False,Seppäläntie
752,Lielahti,Teivaalantie 5 a A 41,216400.0,51.5,2020.0,Kerrostalo,True,False,Teivaalantie
753,Vuores,Isokuusenkatu 47 B 30,141890.0,43.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
754,Vuores,Isokuusenkatu 47 A 22,148890.0,42.0,2020.0,Kerrostalo,False,False,Isokuusenkatu
755,Vuores,Isokuusenkatu 47 A 21,157890.0,43.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
756,Vuores,Isokuusenkatu 47 A 19,146890.0,42.0,2020.0,Kerrostalo,False,False,Isokuusenkatu
757,Takahuhti,Hanhenmäenkatu 1 B,212500.0,50.0,2020.0,Kerrostalo,False,False,Hanhenmäenkatu
758,Takahuhti,Hanhenmäenkatu 1 B,189400.0,40.5,2020.0,Kerrostalo,False,False,Hanhenmäenkatu
